loudness,tempo,time_signature,key,mode,duration,song_hotttnesss,year,,,,,
-8.541,102.538,4,0,0,122.64444,0.434838090260856,1966,,,,,
-6.629,84.164,4,0,1,207.0722,0.382935090075019,1985,,,,,
-13.33,124.175,4,7,1,300.79955,0.610474257771525,1995,,,,,
-12.412,137.004,1,7,1,228.46649,0.226555313955531,1997,,,,,
-21.552,106.33,4,7,1,239.59465,0.415983118288459,0,,,,,
-8.686,107.961,4,11,0,228.93669,nan,0,,,,,
-6.222,174.287,3,1,1,165.61587,0,2000,,,,,
-5.907,116.823,4,0,1,187.92444,0.685940226697685,2003,,,,,
-4.638,101.972,4,0,1,276.50567,0,0,,,,,
-5.884,127.97,4,11,0,200.25424,nan,0,,,,,
-7.787,152.622,4,4,0,144.50893,0.671236026984535,1992,,,,,
-8.488,110.787,3,7,1,285.17832,nan,0,,,,,
-9.603,112.903,4,7,1,246.69995,0.626165759668828,1990,,,,,
-26.266,115.642,4,7,1,84.03546,0,1985,,,,,
-6.305,125.013,4,1,1,273.52771,0.199238262000678,2000,,,,,
-9.998,113.277,4,5,1,298.84036,0.26586104921065,0,,,,,
-9.161,96.979,4,5,0,161.38404,0.237733941622475,1997,,,,,
-4.865,140.995,1,8,1,209.29261,0.824482129682432,0,,,,,
-4.882,105.206,4,11,0,229.61587,0.624425493270767,2004,,,,,
-12.951,63.017,4,0,0,426.89261,0.635536648622669,2000,,,,,
-11.751,144.603,4,9,0,269.26975,nan,0,,,,,
-6.693,167.92,4,2,1,249.41669,0.198785348765244,0,,,,,
-9.091,129.122,1,9,1,136.48934,nan,1963,,,,,
-2.658,132.022,4,0,1,233.27302,0,2001,,,,,
-4.42,183.92,1,1,1,187.24526,0.249065794853703,2005,,,,,
-11.051,89.867,4,9,0,72.61995,nan,0,,,,,
-9.97,119.896,5,2,1,272.63955,nan,0,,,,,
-11.335,137.29,4,1,0,142.75873,nan,0,,,,,
-15.581,82.343,1,5,1,194.11546,0.382723280789198,2002,,,,,
-11.98,91.487,4,3,1,195.91791,nan,1990,,,,,
-11.215,84.69,5,9,0,118.33424,nan,1999,,,,,
-8.165,115.606,4,2,1,288.41751,0.72512128356731,2005,,,,,
-12.69,126.523,1,7,0,123.21914,nan,0,,,,,
-8.7,113.677,4,2,1,283.76771,0.665172240762197,1990,,,,,
-5.758,86.938,4,2,1,239.3073,0.554654767465612,0,,,,,
-4.907,141.936,4,0,1,206.75873,0.304169503435275,0,,,,,
-8.133,106.049,1,11,1,134.81751,nan,0,,,,,
-9.093,126.88,4,8,1,285.64853,nan,0,,,,,
-10.296,85.008,5,1,0,124.18567,0.570105930058388,2001,,,,,
-12.839,133.699,1,4,0,134.08608,nan,0,,,,,
-13.71,118.975,1,11,1,155.61098,nan,0,,,,,
-2.119,102.408,4,9,1,275.40853,nan,0,,,,,
-14.438,112.006,4,0,1,223.4771,0,1961,,,,,
-13.002,45.527,4,1,1,443.24526,0.270775998946327,0,,,,,
-12.004,85.621,4,4,1,177.81506,nan,2006,,,,,
-8.37,108.061,4,8,0,385.33179,nan,2000,,,,,
-11.829,216.195,5,7,1,324.44036,0.405115721691386,1995,,,,,
-6.29,132.428,4,7,1,275.12118,0.242741878949468,0,,,,,
-15.761,168.307,4,5,0,294.66077,0.386790177139014,0,,,,,
-27.433,140.956,7,0,1,193.20118,nan,0,,,,,
-5.701,130.016,5,1,1,357.82485,0.511254835100243,1991,,,,,
-8.709,175.769,4,11,0,198.3473,0.460484844986415,1997,,,,,
-13.627,100.194,3,7,1,261.95546,0.488289876037345,2005,,,,,
-11.479,151.911,4,2,1,176.27383,nan,1985,,,,,
-6.302,119.691,4,9,1,220.89098,nan,0,,,,,
-10.466,161.976,4,10,1,235.91138,nan,0,,,,,
-9.275,172.398,1,0,1,239.59465,nan,1971,,,,,
-37.398,109.823,3,2,1,171.49342,0,0,,,,,
-13.836,90.101,1,1,1,266.05669,0,0,,,,,
-7.103,116.473,4,8,1,329.27302,0.345802233965329,1994,,,,,
-13.495,126.821,4,9,0,198.922,0.333554807276449,0,,,,,
-15.144,111.191,3,2,1,283.21914,0.617365617571782,1971,,,,,
-12.991,125.508,4,5,1,238.68036,nan,0,,,,,
-6.01,137.888,1,4,0,254.06649,0.394394856100583,1999,,,,,
-5.58,150.012,4,6,0,184.31955,nan,0,,,,,
-4.313,108.367,4,10,1,311.40526,nan,0,,,,,
-17.285,173.482,4,2,1,162.53342,0.374796837021405,0,,,,,
-5.931,110.745,4,4,0,212.37506,nan,2009,,,,,
-14.248,130.027,4,2,0,338.33751,0.26586104921065,1995,,,,,
-12.651,110.168,4,11,1,126.51057,0.233796474241799,0,,,,,
-16.056,97.976,3,9,0,205.58322,nan,0,,,,,
-5.913,119.979,4,0,0,193.4624,0.215080318509228,2007,,,,,
-5.541,156.968,1,6,1,127.4771,nan,0,,,,,
-6.019,188.886,4,5,1,234.762,nan,1999,,,,,
-4.953,133.306,4,9,1,292.8322,0.466304830757286,2001,,,,,
-18.114,152.267,3,4,1,241.10975,0.480610618387753,1990,,,,,
-11.061,166.275,4,1,1,270.68036,0.265683379710231,0,,,,,
-7.04,114.971,4,2,1,188.73424,nan,0,,,,,
-15.358,144.651,4,9,0,211.80036,nan,0,,,,,
-11.213,152.005,1,2,1,254.32771,nan,0,,,,,
-5.904,155.074,1,1,0,210.36363,nan,2009,,,,,
-8.095,61.971,1,10,0,301.81832,0.345802233965329,1991,,,,,
-7.982,124.04,5,6,0,416.80934,0.825173540378084,1997,,,,,
-8.804,191.196,4,7,0,413.36118,0,0,,,,,
-5.699,152.127,4,7,1,117.002,nan,2005,,,,,
-5.152,100.023,4,10,0,217.36444,0.737385310227619,0,,,,,
-9.965,192.688,4,10,1,122.72281,nan,0,,,,,
-11.976,154.322,4,11,0,203.98975,0.472121119539595,1988,,,,,
-10.229,236.006,4,5,1,192.44363,0,0,,,,,
-6.284,150.666,5,11,1,285.36118,0.392008771471307,0,,,,,
-3.818,175.421,1,11,0,225.12281,nan,1984,,,,,
-4.633,104.153,4,9,0,123.66322,nan,0,,,,,
Fire (Oscar G Space Vocal Mix),-5.602,127.278,4,11,0,525.16526,nan,0,,,,
-5.157,160.165,4,6,1,204.06812,0.236420182230736,0,,,,,
-1.925,86.091,3,5,1,166.00771,nan,0,,,,,
-5.21,149.94,4,0,1,219.01016,nan,2001,,,,,
-12.717,135.78,4,0,1,127.9473,0.444401714522851,2001,,,,,
-12.28,122.967,4,7,1,570.90567,nan,0,,,,,
-9.748,142.024,4,9,1,230.00771,nan,0,,,,,
-4.878,135.535,7,2,0,240.74404,0.54305286419929,2010,,,,,
-23.988,139.189,3,2,1,192.20853,0.608500078919412,1989,,,,,
-9.414,128.598,5,8,1,152.0322,nan,0,,,,,
-9.741,163.445,4,3,0,215.30077,0,2004,,,,,
-11.965,114.027,3,7,0,155.21914,nan,1971,,,,,
-12.779,111.316,1,7,1,207.12444,nan,0,,,,,
-8.403,105.994,3,4,0,428.56444,0.659304669164406,2006,,,,,
-13.251,88.489,1,8,1,185.7824,nan,0,,,,,
-5.884,118.433,4,7,0,654.28853,0.626612802695601,2009,,,,,
-6.929,96.007,4,11,1,306.72934,0.270775998946327,0,,,,,
-4.198,187.807,4,9,1,229.51138,nan,0,,,,,
-6.998,181.115,4,7,0,205.58322,nan,1991,,,,,
-12.772,148.357,4,2,1,127.05914,0.494489517502113,0,,,,,
-18.147,136.164,4,1,0,44.35546,0.304169503435275,0,,,,,
-7.661,126.941,4,4,0,203.83302,nan,2009,,,,,
-17.308,159.582,3,5,1,176.50893,nan,0,,,,,
-28.347,89.495,4,6,0,140.66893,0.519448581494059,1986,,,,,
-2.869,102.259,3,5,0,201.09016,nan,1988,,,,,
-7.309,107.529,3,10,1,254.79791,0,1998,,,,,
-15.351,99.408,4,0,1,143.0722,0,0,,,,,
-25.694,79.731,4,9,1,163.49995,0,0,,,,,
-9.435,188.502,1,0,1,289.64526,0,0,,,,,
-4.793,133.729,1,11,1,124.15955,0.405652196159693,1998,,,,,
-17.623,139.136,4,4,0,167.3922,0.445454525493426,0,,,,,
-6.2,193.693,4,2,0,321.35791,nan,1994,,,,,
-19.821,76.693,4,0,1,263.94077,nan,0,,,,,
-9.632,126.95,4,10,1,341.36771,nan,0,,,,,
-5.671,144.812,1,6,1,333.13914,nan,0,,,,,
-11.708,138.003,4,11,0,349.12608,nan,0,,,,,
-16.968,130.284,4,7,0,168.56771,nan,1999,,,,,
-13.038,152.013,4,10,1,350.71955,0,2010,,,,,
-10.647,159.968,4,4,1,175.62077,nan,0,,,,,
-4.172,75.031,4,4,0,190.24934,0.54305286419929,2005,,,,,
-10.756,150.837,4,7,1,255.16363,nan,1981,,,,,
-3.422,143.231,1,10,0,120.2673,nan,0,,,,,
-12.26,123.993,4,11,1,557.26975,nan,0,,,,,
-23.527,97.981,1,11,1,187.53261,0.350979506371429,2000,,,,,
-9.435,137.288,4,2,1,295.60118,nan,0,,,,,
-8.639,168.323,4,3,1,252.02893,0,0,,,,,
-7.672,111.079,4,2,1,329.35138,0.570850642078845,2009,,,,,
-13.668,133.009,4,0,1,180.00934,0,0,,,,,
-6.885,146.577,5,6,1,244.45342,0.235846203279444,0,,,,,
-4.2,140.458,3,6,0,282.53995,nan,1996,,,,,
-16.433,132.506,4,0,1,388.28363,0.263969820176701,1983,,,,,
-6.951,153.862,4,2,1,345.93914,0.447135796286178,1997,,,,,
-14.737,93.238,4,9,1,243.1473,0,2010,,,,,
-9.628,124.086,4,0,1,261.74649,0.714046552772186,1986,,,,,
-8.46,66.765,1,2,0,172.25098,nan,0,,,,,
-3.736,145.518,4,9,1,216.60689,0.41373983586011,1988,,,,,
-4.376,139.998,4,1,1,363.59791,nan,0,,,,,
-6.947,90.648,3,0,1,271.77751,0.319565986882865,2004,,,,,
-12.279,140.334,4,2,0,330.65751,nan,0,,,,,
-15.736,89.86,1,5,1,133.27628,0.360370582712141,2005,,,,,
-5.871,156.097,4,9,1,264.69832,0.566988444040404,2006,,,,,
-12.053,179.501,1,5,1,228.51873,nan,0,,,,,
-6.248,86.689,3,1,1,240.3522,nan,0,,,,,
-13.703,160.261,5,0,1,145.57995,nan,0,,,,,
-9.716,101.03,4,10,0,235.80689,0.253834736132231,0,,,,,
-6.258,155.038,4,6,1,192.1824,0.51940304573667,2007,,,,,
-11.702,117.168,3,1,1,418.87302,0.437351761387276,1989,,,,,
-14.509,132.967,1,2,0,198.26893,0.676548905600994,2003,,,,,
-9.062,139.91,4,11,1,420.10077,nan,1996,,,,,
-6.788,95.882,4,9,1,397.26975,0.460541281358658,1999,,,,,
-12.772,135.175,3,4,1,229.79873,0.495293621292163,1995,,,,,
-9.258,121.983,3,7,1,150.64771,nan,0,,,,,
-24.597,169.775,3,9,0,286.14485,nan,0,,,,,
-8.161,137.862,4,11,0,384.70485,nan,2001,,,,,
-6.751,83.326,3,1,1,415.03302,0,0,,,,,
-29.295,117.667,3,4,1,133.53751,nan,0,,,,,
-12.658,90.908,3,9,1,266.70975,nan,0,,,,,
-6.546,151.953,4,4,1,284.3424,nan,2008,,,,,
-17.522,161.054,4,0,0,179.06893,0,0,,,,,
-10.777,159.895,5,8,1,100.5971,nan,0,,,,,
-9.993,128.219,4,9,1,320.60036,0,0,,,,,
-12.99,101.229,4,6,1,302.36689,0,0,,,,,
-8.339,98.859,4,0,1,284.70812,nan,0,,,,,
-6.531,125.975,4,0,1,327.8624,0.688521844119463,2001,,,,,
-6.933,154.09,4,1,1,286.30159,0.557880388907068,2007,,,,,
-4.178,124.237,4,9,1,356.49261,nan,2001,,,,,
-8.91,97.099,4,9,1,168.75057,0,1989,,,,,
-2.069,140.63,1,9,1,201.56036,nan,2000,,,,,
-16.844,101.41,1,0,0,185.67791,nan,0,,,,,
-3.803,186.254,4,4,1,218.8273,0.696469436584313,2003,,,,,
-10.57,210.47,4,1,1,303.04608,0.215080318509228,1995,,,,,
-6.694,94.057,4,7,1,224.522,nan,1999,,,,,
-16.753,100.349,1,4,1,315.27138,nan,0,,,,,
-4.376,124.009,4,7,1,275.06893,nan,0,,,,,
-38.525,90.084,1,9,1,191.81669,0.545230293898361,1986,,,,,
-1.843,106.698,1,2,1,177.24036,0.447135796286178,2009,,,,,
-3.937,89.78,4,2,1,233.58649,0.784194615956066,2001,,,,,
-16.006,107.177,7,9,0,38.3473,0.214253448961569,2000,,,,,
-19.794,152.258,4,10,1,100.85832,0,0,,,,,
-7.614,134.083,4,3,1,485.19791,nan,2007,,,,,
-10.274,106.398,3,5,1,239.01995,nan,0,,,,,
-5.912,160.022,3,10,1,288.49587,nan,2007,,,,,
-7.108,101.492,4,7,1,151.53587,0,0,,,,,
-15.578,86.141,4,0,0,160.28689,nan,0,,,,,
-9.334,120.097,4,1,1,181.55057,0.621765582517975,0,,,,,
-16.942,128.173,4,7,0,70.26893,nan,2004,,,,,
-6.021,88.835,4,8,1,173.24363,0.606816327170284,0,,,,,
-13.135,105.24,4,2,1,155.74159,0,0,,,,,
-6.893,162.385,1,7,1,148.03546,nan,0,,,,,
-9.506,109.636,5,2,1,94.06649,nan,0,,,,,
-7.255,108.264,4,10,0,241.52771,0.873702494910431,2003,,,,,
-7.684,119.524,4,9,1,226.82077,nan,0,,,,,
-12.385,97.76,4,9,0,106.52689,0.323112120895212,2009,,,,,
-4.779,241.877,4,10,1,224.28689,0.53750390419171,2002,,,,,
-11.356,91.328,4,7,1,340.29669,0.547324832034486,1988,,,,,
-8.147,130.062,4,8,1,216.55465,0.494357324252012,0,,,,,
-6.582,68.734,4,11,0,279.2224,0.360370582712141,1998,,,,,
-16.527,94.658,3,2,1,158.56281,0,0,,,,,
-10.173,102.055,1,10,0,234.44853,0.345802233965329,2005,,,,,
-14.123,109.065,1,2,1,155.95057,0.46264318259167,2001,,,,,
-5.483,184.981,4,6,1,233.53424,0,0,,,,,
-7.307,201.802,3,7,1,256.80934,0.405115721691386,2000,,,,,
-12.75,119.67,4,1,1,234.65751,nan,1984,,,,,
-10.328,105.181,1,0,1,163.76118,nan,0,,,,,
-9.668,165.668,3,9,1,159.03302,0,0,,,,,
-5.444,188.056,3,1,1,214.04689,nan,0,,,,,
-4.144,143.97,4,3,1,301.06077,nan,2007,,,,,
-18.349,61.883,1,6,1,109.37424,0.615372255699073,1987,,,,,
-20.964,0,1,7,1,151.82322,nan,0,,,,,
-11.877,163.167,4,9,1,287.11138,nan,0,,,,,
-5.627,144.836,3,9,0,239.98649,0.193857802549192,2002,,,,,
-1.998,108.499,4,2,1,229.642,0.658623927287423,2005,,,,,
-7.901,193.978,4,11,0,143.98649,0,2007,,,,,
-8.798,88.935,4,0,1,153.20771,0.194735229350031,0,,,,,
-5.934,91.69,4,4,1,316.65587,0.274281704244185,2007,,,,,
-10.7,210.8,7,1,1,182.09914,0.312769919530426,1982,,,,,
-4.332,82.205,4,4,1,205.21751,0.419674278809553,2008,,,,,
-15.672,121.563,1,4,1,131.05587,nan,0,,,,,
-15.54,162.682,4,3,1,316.73424,0.531612769199175,1989,,,,,
-14.621,106.219,1,11,0,431.64689,nan,0,,,,,
-11.428,172.337,4,4,1,183.37914,0,0,,,,,
-11.273,210.305,4,5,1,324.51873,nan,1993,,,,,
-9.745,175.393,4,1,0,172.01587,0,1991,,,,,
-10.917,128.459,5,0,0,165.66812,nan,2005,,,,,
-21.787,109.671,5,2,1,377.67791,0,2004,,,,,
-14.449,141.024,4,5,0,145.00526,nan,0,,,,,
-7.535,125.558,4,1,1,153.28608,0.721572660839387,2006,,,,,
-10.918,211.327,3,9,0,215.35302,nan,2005,,,,,
-21.25,147.637,4,11,1,156.70812,nan,0,,,,,
-12.77,98.49,1,9,1,168.38485,nan,1998,,,,,
-15.574,137.673,7,10,0,150.25587,nan,0,,,,,
-9.79,68.283,4,0,1,159.76444,nan,1960,,,,,
-32.017,0,1,2,1,230.26893,nan,0,,,,,
-5.533,134.014,4,1,1,465.60608,0.582918458497712,0,,,,,
-8.901,85.157,4,5,1,247.77098,0.352232225005342,0,,,,,
-15.915,86.162,4,1,1,165.98159,0.27407357810339,0,,,,,
-8.489,93.106,4,11,0,368.16934,0.319565986882865,1995,,,,,
-13.366,49.262,4,3,1,176.27383,nan,0,,,,,
-5.947,80.149,4,6,0,266.4224,0.636287224427332,2000,,,,,
-13.826,82.422,4,6,1,111.0722,nan,0,,,,,
-11.488,107.197,3,7,1,313.7824,nan,1989,,,,,
-9.28,124.177,4,9,0,265.37751,nan,0,,,,,
-7.928,196.034,4,7,1,167.20934,nan,1989,,,,,
-14.367,64.401,4,0,1,240.61342,nan,0,,,,,
-7.598,130.861,4,1,1,356.41424,nan,0,,,,,
-2.939,90.008,4,10,0,260.28363,nan,2007,,,,,
-8.632,122.174,4,9,1,256.39138,nan,0,,,,,
-14.544,95.981,4,2,1,316.49914,0.761303218089445,1999,,,,,
-7.605,75.955,5,0,0,252.57751,nan,0,,,,,
-13.256,210.871,4,8,1,224.60036,0.425124658313058,1989,,,,,
-7.225,105.196,1,4,0,214.12526,nan,0,,,,,
-8.403,105.994,3,4,0,428.56444,0.659304669164406,2006,,,,,
-13.251,88.489,1,8,1,185.7824,nan,0,,,,,
-5.884,118.433,4,7,0,654.28853,0.626612802695601,2009,,,,,
-6.929,96.007,4,11,1,306.72934,0.270775998946327,0,,,,,
-4.198,187.807,4,9,1,229.51138,nan,0,,,,,
-6.998,181.115,4,7,0,205.58322,nan,1991,,,,,
-12.772,148.357,4,2,1,127.05914,0.494489517502113,0,,,,,
-18.147,136.164,4,1,0,44.35546,0.304169503435275,0,,,,,
-7.661,126.941,4,4,0,203.83302,nan,2009,,,,,
-17.308,159.582,3,5,1,176.50893,nan,0,,,,,
-28.347,89.495,4,6,0,140.66893,0.519448581494059,1986,,,,,
-2.869,102.259,3,5,0,201.09016,nan,1988,,,,,
-7.309,107.529,3,10,1,254.79791,0,1998,,,,,
-15.351,99.408,4,0,1,143.0722,0,0,,,,,
-25.694,79.731,4,9,1,163.49995,0,0,,,,,
-9.435,188.502,1,0,1,289.64526,0,0,,,,,
-9.506,109.636,5,2,1,94.06649,nan,0,,,,,
-7.255,108.264,4,10,0,241.52771,0.873702494910431,2003,,,,,
-7.684,119.524,4,9,1,226.82077,nan,0,,,,,
-12.385,97.76,4,9,0,106.52689,0.323112120895212,2009,,,,,
-4.779,241.877,4,10,1,224.28689,0.53750390419171,2002,,,,,
-11.356,91.328,4,7,1,340.29669,0.547324832034486,1988,,,,,
-8.147,130.062,4,8,1,216.55465,0.494357324252012,0,,,,,
-6.582,68.734,4,11,0,279.2224,0.360370582712141,1998,,,,,
-16.527,94.658,3,2,1,158.56281,0,0,,,,,
-10.173,102.055,1,10,0,234.44853,0.345802233965329,2005,,,,,
-14.123,109.065,1,2,1,155.95057,0.46264318259167,2001,,,,,
-5.483,184.981,4,6,1,233.53424,0,0,,,,,
-7.307,201.802,3,7,1,256.80934,0.405115721691386,2000,,,,,
-15.574,137.673,7,10,0,150.25587,nan,0,,,,,
-9.79,68.283,4,0,1,159.76444,nan,1960,,,,,
-32.017,0,1,2,1,230.26893,nan,0,,,,,
-5.533,134.014,4,1,1,465.60608,0.582918458497712,0,,,,,
-8.901,85.157,4,5,1,247.77098,0.352232225005342,0,,,,,
-15.915,86.162,4,1,1,165.98159,0.27407357810339,0,,,,,
-8.489,93.106,4,11,0,368.16934,0.319565986882865,1995,,,,,
-13.366,49.262,4,3,1,176.27383,nan,0,,,,,
-7.982,124.04,5,6,0,416.80934,0.825173540378084,1997,,,,,
-8.804,191.196,4,7,0,413.36118,0,0,,,,,
-5.699,152.127,4,7,1,117.002,nan,2005,,,,,
-5.152,100.023,4,10,0,217.36444,0.737385310227619,0,,,,,
-9.965,192.688,4,10,1,122.72281,nan,0,,,,,
-11.976,154.322,4,11,0,203.98975,0.472121119539595,1988,,,,,
-10.229,236.006,4,5,1,192.44363,0,0,,,,,
-6.284,150.666,5,11,1,285.36118,0.392008771471307,0,,,,,
-3.818,175.421,1,11,0,225.12281,nan,1984,,,,,
-4.633,104.153,4,9,0,123.66322,nan,0,,,,,
Fire (Oscar G Space Vocal Mix),-5.602,127.278,4,11,0,525.16526,nan,0,,,,
-5.157,160.165,4,6,1,204.06812,0.236420182230736,0,,,,,
-1.925,86.091,3,5,1,166.00771,nan,0,,,,,
-6.885,146.577,5,6,1,244.45342,0.235846203279444,0,,,,,
-4.2,140.458,3,6,0,282.53995,nan,1996,,,,,
-16.433,132.506,4,0,1,388.28363,0.263969820176701,1983,,,,,
-6.951,153.862,4,2,1,345.93914,0.447135796286178,1997,,,,,
-14.737,93.238,4,9,1,243.1473,0,2010,,,,,
-9.628,124.086,4,0,1,261.74649,0.714046552772186,1986,,,,,
-8.46,66.765,1,2,0,172.25098,nan,0,,,,,
-3.736,145.518,4,9,1,216.60689,0.41373983586011,1988,,,,,
-4.376,139.998,4,1,1,363.59791,nan,0,,,,,
-6.947,90.648,3,0,1,271.77751,0.319565986882865,2004,,,,,
-12.279,140.334,4,2,0,330.65751,nan,0,,,,,
-38.525,90.084,1,9,1,191.81669,0.545230293898361,1986,,,,,
-1.843,106.698,1,2,1,177.24036,0.447135796286178,2009,,,,,
-3.937,89.78,4,2,1,233.58649,0.784194615956066,2001,,,,,
-16.006,107.177,7,9,0,38.3473,0.214253448961569,2000,,,,,
-19.794,152.258,4,10,1,100.85832,0,0,,,,,
-7.614,134.083,4,3,1,485.19791,nan,2007,,,,,
-10.274,106.398,3,5,1,239.01995,nan,0,,,,,
-5.912,160.022,3,10,1,288.49587,nan,2007,,,,,
-7.108,101.492,4,7,1,151.53587,0,0,,,,,
-15.578,86.141,4,0,0,160.28689,nan,0,,,,,
-9.334,120.097,4,1,1,181.55057,0.621765582517975,0,,,,,
-16.942,128.173,4,7,0,70.26893,nan,2004,,,,,
-6.021,88.835,4,8,1,173.24363,0.606816327170284,0,,,,,
-13.135,105.24,4,2,1,155.74159,0,0,,,,,
-6.893,162.385,1,7,1,148.03546,nan,0,,,,,
-6.546,151.953,4,4,1,284.3424,nan,2008,,,,,
-17.522,161.054,4,0,0,179.06893,0,0,,,,,
-10.777,159.895,5,8,1,100.5971,nan,0,,,,,
-9.993,128.219,4,9,1,320.60036,0,0,,,,,
-12.99,101.229,4,6,1,302.36689,0,0,,,,,
-8.339,98.859,4,0,1,284.70812,nan,0,,,,,
-6.531,125.975,4,0,1,327.8624,0.688521844119463,2001,,,,,
-6.933,154.09,4,1,1,286.30159,0.557880388907068,2007,,,,,
-4.178,124.237,4,9,1,356.49261,nan,2001,,,,,
-8.91,97.099,4,9,1,168.75057,0,1989,,,,,
-2.069,140.63,1,9,1,201.56036,nan,2000,,,,,
-16.844,101.41,1,0,0,185.67791,nan,0,,,,,
-3.803,186.254,4,4,1,218.8273,0.696469436584313,2003,,,,,
-10.57,210.47,4,1,1,303.04608,0.215080318509228,1995,,,,,
-6.694,94.057,4,7,1,224.522,nan,1999,,,,,
-16.753,100.349,1,4,1,315.27138,nan,0,,,,,
-4.376,124.009,4,7,1,275.06893,nan,0,,,,,
-5.947,80.149,4,6,0,266.4224,0.636287224427332,2000,,,,,
-13.826,82.422,4,6,1,111.0722,nan,0,,,,,
-11.488,107.197,3,7,1,313.7824,nan,1989,,,,,
-9.28,124.177,4,9,0,265.37751,nan,0,,,,,
-7.928,196.034,4,7,1,167.20934,nan,1989,,,,,
-14.367,64.401,4,0,1,240.61342,nan,0,,,,,
-7.598,130.861,4,1,1,356.41424,nan,0,,,,,
-2.939,90.008,4,10,0,260.28363,nan,2007,,,,,
-8.632,122.174,4,9,1,256.39138,nan,0,,,,,
-14.544,95.981,4,2,1,316.49914,0.761303218089445,1999,,,,,
-7.605,75.955,5,0,0,252.57751,nan,0,,,,,
-13.256,210.871,4,8,1,224.60036,0.425124658313058,1989,,,,,
-7.225,105.196,1,4,0,214.12526,nan,0,,,,,
-5.21,149.94,4,0,1,219.01016,nan,2001,,,,,
-12.717,135.78,4,0,1,127.9473,0.444401714522851,2001,,,,,
-12.28,122.967,4,7,1,570.90567,nan,0,,,,,
